ensembl_gene_id,sepwes003,sepwes006,sepwes007,sepwes008,sepwes009,sepwes010,sepwes011,sepwes012
ENSG00000010539,10,9,10,8,8,8,8,9
ENSG00000010610,10,10,10,9,8,10,10,11
ENSG00000010626,5,6,4,5,5,5,5,5
ENSG00000010671,11,10,10,10,11,10,9,10
ENSG00000010704,6,7,6,5,5,6,7,6
ENSG00000010803,6,6,5,5,8,7,7,6
ENSG00000010810,10,10,10,10,9,9,11,11
ENSG00000010818,10,10,10,8,9,8,9,9
ENSG00000011007,9,9,9,8,9,8,8,9
ENSG00000011009,8,9,8,10,8,9,8,8
ENSG00000011021,7,7,7,6,9,7,7,7
ENSG00000011028,8,7,5,7,5,7,6,5
ENSG00000011105,6,6,6,8,4,5,6,6
ENSG00000011114,7,8,8,8,8,8,8,7
ENSG00000011132,7,7,7,7,8,7,7,7
ENSG00000011143,5,5,5,5,6,6,6,6
ENSG00000011198,10,11,10,11,8,11,9,10
ENSG00000011201,3,3,3,4,3,4,4,3
ENSG00000011243,9,9,9,10,9,9,9,9
ENSG00000011258,7,8,8,8,9,8,8,7
ENSG00000011260,8,7,8,7,9,8,8,8
ENSG00000011275,9,9,9,10,10,8,9,9
ENSG00000011295,7,7,7,6,7,7,7,7
ENSG00000011304,10,10,10,10,10,10,10,10
ENSG00000011376,7,6,6,6,7,6,6,7
ENSG00000011405,8,8,9,6,8,8,8,8
ENSG00000011422,11,11,11,11,8,10,9,10
ENSG00000011426,4,5,4,4,3,9,4,3
ENSG00000011451,7,8,6,7,7,8,8,8
ENSG00000011454,8,8,8,7,9,8,8,8
ENSG00000011478,4,5,5,6,6,5,5,4
ENSG00000011485,7,8,7,7,8,7,8,7
ENSG00000011523,6,7,7,6,9,7,8,6
ENSG00000011566,6,6,7,4,6,6,7,5
ENSG00000011590,4,4,4,5,8,3,5,4
ENSG00000011600,13,12,12,14,10,12,10,11
ENSG00000011638,7,7,6,7,6,7,7,7
ENSG00000012048,7,8,8,7,7,8,7,7
ENSG00000012061,7,8,7,8,9,8,8,8
ENSG00000012124,7,8,8,7,6,4,9,8
ENSG00000012171,4,5,5,4,3,5,5,4
ENSG00000012174,6,6,6,4,6,5,6,6
ENSG00000012211,6,6,6,7,6,6,6,6
ENSG00000012223,10,9,10,11,8,16,8,9
ENSG00000012232,10,10,10,11,8,10,9,9
ENSG00000012660,12,11,12,11,10,11,10,11
ENSG00000012779,12,13,12,14,10,13,10,11
ENSG00000012817,5,4,9,8,10,4,10,9
ENSG00000012822,9,10,10,10,10,10,9,10
ENSG00000012963,7,7,8,8,8,8,8,8
ENSG00000012983,8,7,8,6,9,8,8,7
ENSG00000013016,7,7,7,8,9,6,6,7
ENSG00000013275,9,9,8,9,9,8,8,9
ENSG00000013288,10,9,9,10,9,9,9,9
ENSG00000013306,14,13,11,14,10,13,11,11
ENSG00000013364,12,12,11,13,10,11,10,12
ENSG00000013374,13,10,12,10,10,9,9,12
ENSG00000013375,6,6,7,6,8,6,7,6
ENSG00000013392,5,5,5,5,5,4,6,5
ENSG00000013441,11,10,11,9,11,11,11,10
ENSG00000013503,6,6,6,6,7,7,6,6
ENSG00000013523,6,7,6,6,8,7,7,7
ENSG00000013561,8,8,8,7,8,9,9,7
ENSG00000013563,8,9,9,10,7,9,7,8
ENSG00000013573,6,5,6,6,8,6,5,5
ENSG00000013583,9,8,8,7,7,7,7,8
ENSG00000013725,8,7,8,8,9,8,10,9
ENSG00000013810,9,10,9,12,9,11,10,10
ENSG00000014123,8,8,8,6,9,8,8,7
ENSG00000014138,7,7,7,7,7,8,7,7
ENSG00000014164,9,9,8,9,7,8,7,8
ENSG00000014216,10,10,9,12,10,10,10,10
ENSG00000014257,8,9,8,8,5,8,7,8
ENSG00000014641,8,9,8,8,10,8,9,8
ENSG00000014824,8,8,7,7,8,8,8,7
ENSG00000014914,8,8,8,7,5,6,7,8
ENSG00000014919,9,9,9,9,9,9,8,9
ENSG00000015133,9,9,9,9,10,9,10,10
ENSG00000015153,6,7,8,7,8,7,7,7
ENSG00000015171,7,8,8,6,9,7,9,8
ENSG00000015285,12,12,12,13,10,12,10,12
ENSG00000015475,10,10,10,11,9,10,9,10
ENSG00000015479,5,5,5,4,7,5,6,5
ENSG00000015532,6,7,6,7,7,7,7,7
ENSG00000015676,8,8,8,8,9,8,8,8
ENSG00000016391,3,4,3,4,6,5,4,3
ENSG00000016864,7,7,7,7,8,8,8,7
ENSG00000017260,9,9,9,8,9,9,9,9
ENSG00000017427,4,3,3,5,3,3,3,3
ENSG00000017483,9,8,8,9,7,8,7,8
ENSG00000017797,10,11,10,11,9,11,10,10
ENSG00000018189,9,7,8,5,8,7,8,7
ENSG00000018280,12,13,11,15,8,13,10,10
ENSG00000018510,9,8,9,7,8,10,8,8
ENSG00000018610,7,6,7,7,7,7,7,7
ENSG00000018699,6,6,7,6,8,6,7,7
ENSG00000018869,5,5,4,4,5,4,5,5
ENSG00000019169,8,10,8,7,5,6,6,9
ENSG00000019485,5,5,5,4,7,5,6,5
ENSG00000019582,15,13,14,12,15,13,13,14
ENSG00000019991,7,8,7,7,5,7,6,6
ENSG00000019995,9,9,8,9,9,9,9,8
ENSG00000020129,7,7,7,6,7,7,7,7
ENSG00000020181,5,6,5,4,4,4,5,4
ENSG00000020256,6,6,6,6,7,5,6,5
ENSG00000020426,5,5,3,4,6,6,5,6
ENSG00000020577,10,5,9,4,5,6,5,9
ENSG00000020633,10,9,10,9,10,9,10,11
ENSG00000020922,7,7,8,6,8,8,8,8
ENSG00000021300,4,5,5,6,6,4,7,6
ENSG00000021355,13,13,12,13,10,13,10,11
ENSG00000021574,9,9,9,8,9,8,8,8
ENSG00000021762,9,6,8,6,7,8,8,9
ENSG00000021776,9,9,9,8,9,9,9,9
ENSG00000022267,7,6,6,8,7,6,7,6
ENSG00000022277,10,11,11,11,9,10,9,10
ENSG00000022556,5,6,5,6,5,5,5,5
ENSG00000022567,9,9,9,11,8,10,9,9
ENSG00000022840,13,13,11,14,11,12,12,12
ENSG00000022976,5,7,7,8,7,8,7,7
ENSG00000023041,9,9,9,9,9,9,8,9
ENSG00000023171,11,7,10,6,7,8,6,9
ENSG00000023191,9,9,9,9,8,9,8,9
ENSG00000023228,8,9,9,8,9,9,9,9
ENSG00000023287,10,10,10,10,9,10,10,9
ENSG00000023318,11,10,11,10,10,10,9,10
ENSG00000023330,9,9,8,9,8,9,8,8
ENSG00000023445,10,9,10,8,9,7,10,9
ENSG00000023516,8,8,8,6,9,8,9,8
ENSG00000023572,6,6,6,6,7,7,7,6
ENSG00000023608,5,6,5,5,6,5,5,6
ENSG00000023697,8,7,7,8,7,7,7,7
ENSG00000023734,9,9,9,9,9,9,9,8
ENSG00000023839,4,6,5,6,6,6,6,5
ENSG00000023892,9,10,10,12,9,10,10,10
ENSG00000023902,12,11,12,10,10,10,10,11
ENSG00000023909,8,8,7,8,7,9,8,6
ENSG00000024048,11,11,12,12,10,11,10,11
ENSG00000024422,4,4,4,5,3,4,3,3
ENSG00000024526,4,4,4,5,2,7,4,4
ENSG00000024862,8,8,8,10,8,9,8,8
ENSG00000025039,7,9,8,9,6,9,8,8
ENSG00000025156,5,6,6,5,7,6,7,6
ENSG00000025293,9,9,10,10,9,9,9,9
ENSG00000025434,5,6,6,4,5,6,5,6
ENSG00000025708,13,11,12,12,9,11,10,12
ENSG00000025770,7,7,7,7,7,8,7,7
ENSG00000025772,5,6,7,7,7,7,6,7
ENSG00000025796,8,8,9,8,9,10,9,9
ENSG00000025800,9,9,9,10,9,9,9,9
ENSG00000026025,14,13,13,15,13,14,13,14
ENSG00000026103,11,10,11,9,8,9,8,10
ENSG00000026297,11,10,12,12,9,11,10,11
ENSG00000026508,12,14,12,14,11,12,12,12
ENSG00000026559,3,4,3,3,7,3,3,4
ENSG00000026652,7,7,7,6,6,7,7,7
ENSG00000026751,10,10,10,9,9,8,9,10
ENSG00000026950,12,9,12,9,11,10,11,13
ENSG00000027001,4,4,5,4,7,5,5,5
ENSG00000027075,9,9,9,8,8,8,10,10
ENSG00000027697,11,13,12,12,9,12,11,11
ENSG00000027847,6,6,6,6,7,6,6,6
ENSG00000027869,7,6,7,6,6,7,8,8
ENSG00000028116,9,7,9,7,8,7,7,8
ENSG00000028137,13,13,13,14,11,13,12,13
ENSG00000028203,7,7,7,6,9,7,8,7
ENSG00000028277,10,10,11,10,12,10,10,12
ENSG00000028310,8,8,8,8,8,8,8,8
ENSG00000028528,11,11,10,11,10,10,10,10
ENSG00000028839,8,8,8,8,8,8,7,7
ENSG00000029153,7,5,5,4,4,5,4,4
ENSG00000029363,10,10,11,10,10,10,10,10
ENSG00000029364,9,9,9,9,9,9,9,9
ENSG00000029534,10,8,8,9,7,10,9,8
ENSG00000029639,6,5,6,5,7,5,6,6
ENSG00000029725,8,8,9,8,9,8,9,9
ENSG00000029993,5,6,4,5,4,8,5,5
ENSG00000030066,8,8,9,7,9,8,9,8
ENSG00000030110,9,9,8,7,8,7,8,9
ENSG00000030419,6,6,7,4,8,5,7,7
ENSG00000030582,13,12,12,13,10,13,11,12
ENSG00000031003,9,9,9,8,9,9,9,9
ENSG00000031081,7,8,8,6,6,6,7,8
ENSG00000031691,5,5,5,4,5,6,6,4
ENSG00000031698,9,9,9,10,9,9,9,10
ENSG00000031823,9,9,8,9,9,9,8,9
ENSG00000032219,10,10,10,10,9,10,10,10
ENSG00000032389,7,7,5,7,7,7,7,7
ENSG00000032444,10,11,9,10,9,10,9,10
ENSG00000032742,5,6,6,6,6,6,6,5
ENSG00000033011,6,6,5,6,6,6,7,6
ENSG00000033030,8,8,8,8,9,8,8,8
ENSG00000033050,6,6,6,6,6,5,6,5
ENSG00000033100,8,9,8,10,8,9,8,9
ENSG00000033170,6,7,7,7,7,6,7,6
ENSG00000033178,9,9,9,7,9,9,9,9
ENSG00000033327,12,11,12,12,9,11,10,11
ENSG00000033627,9,9,9,10,11,10,9,9
ENSG00000033800,11,11,11,11,10,11,10,10
ENSG00000033867,6,7,7,5,6,7,8,7
ENSG00000034053,5,7,6,6,5,5,8,7
ENSG00000034152,11,11,10,12,9,12,10,10
ENSG00000034510,14,12,13,12,13,11,12,13
ENSG00000034533,7,7,7,7,7,6,7,7
ENSG00000034677,10,9,10,8,10,9,9,9
ENSG00000034693,5,5,6,5,7,6,6,6
ENSG00000034713,10,11,10,11,10,11,10,9
ENSG00000035115,5,6,7,5,8,6,8,7
ENSG00000035141,7,6,7,7,9,7,7,6
ENSG00000035403,11,10,11,11,9,11,10,11
ENSG00000035499,3,3,4,4,4,7,4,3
